,id,krankheit
0,A00.-,Cholera
1,A00.-,Cholera
2,A00.0,"Cholera durch Vibrio cholerae O:1, Biovar cholerae"
3,A00.0,"Cholera durch Vibrio cholerae O:1, Biovar cholerae"
4,A00.1,"Cholera durch Vibrio cholerae O:1, Biovar eltor"
5,A00.1,"Cholera durch Vibrio cholerae O:1, Biovar eltor"
6,A00.9,"Cholera, nicht näher bezeichnet"
7,A00.9,"Cholera, nicht näher bezeichnet"
8,A01.-,Typhus abdominalis und Paratyphus
9,A01.-,Typhus abdominalis und Paratyphus
10,A01.0,Typhus abdominalis
11,A01.0,Typhus abdominalis
12,A01.1,Paratyphus A
13,A01.1,Paratyphus A
14,A01.2,Paratyphus B
15,A01.2,Paratyphus B
16,A01.3,Paratyphus C
17,A01.3,Paratyphus C
18,A01.4,"Paratyphus, nicht näher bezeichnet"
19,A01.4,"Paratyphus, nicht näher bezeichnet"
20,A02.-,Sonstige Salmonelleninfektionen
21,A02.-,Sonstige Salmonelleninfektionen
22,A02.0,Salmonellenenteritis
23,A02.0,Salmonellenenteritis
24,A02.1,Salmonellensepsis
25,A02.1,Salmonellensepsis
26,A02.2,Lokalisierte Salmonelleninfektionen
27,A02.2,Lokalisierte Salmonelleninfektionen
28,A02.8,Sonstige näher bezeichnete Salmonelleninfektionen
29,A02.8,Sonstige näher bezeichnete Salmonelleninfektionen
30,A02.9,"Salmonelleninfektion, nicht näher bezeichnet"
31,A02.9,"Salmonelleninfektion, nicht näher bezeichnet"
32,A03.-,Shigellose [Bakterielle Ruhr]
33,A03.-,Shigellose [Bakterielle Ruhr]
34,A03.0,Shigellose durch Shigella dysenteriae
35,A03.0,Shigellose durch Shigella dysenteriae
36,A03.1,Shigellose durch Shigella flexneri
37,A03.1,Shigellose durch Shigella flexneri
38,A03.2,Shigellose durch Shigella boydii
39,A03.2,Shigellose durch Shigella boydii
40,A03.3,Shigellose durch Shigella sonnei
41,A03.3,Shigellose durch Shigella sonnei
42,A03.8,Sonstige Shigellosen
43,A03.8,Sonstige Shigellosen
44,A03.9,"Shigellose, nicht näher bezeichnet"
45,A03.9,"Shigellose, nicht näher bezeichnet"
46,A04.-,Sonstige bakterielle Darminfektionen
47,A04.-,Sonstige bakterielle Darminfektionen
48,A04.0,Darminfektion durch enteropathogene Escherichia coli
49,A04.0,Darminfektion durch enteropathogene Escherichia coli
50,A04.1,Darminfektion durch enterotoxinbildende Escherichia coli
51,A04.1,Darminfektion durch enterotoxinbildende Escherichia coli
52,A04.2,Darminfektion durch enteroinvasive Escherichia coli
53,A04.2,Darminfektion durch enteroinvasive Escherichia coli
54,A04.3,Darminfektion durch enterohämorrhagische Escherichia coli
55,A04.3,Darminfektion durch enterohämorrhagische Escherichia coli
56,A04.4,Sonstige Darminfektionen durch Escherichia coli
57,A04.4,Sonstige Darminfektionen durch Escherichia coli
58,A04.5,Enteritis durch Campylobacter
59,A04.5,Enteritis durch Campylobacter
60,A04.6,Enteritis durch Yersinia enterocolitica
61,A04.6,Enteritis durch Yersinia enterocolitica
62,A04.7-,Enterokolitis durch Clostridium difficile
63,A04.7-,Enterokolitis durch Clostridium difficile
64,A04.70,"Enterokolitis durch Clostridium difficile ohne Megakolon, ohne sonstige Organkomplikationen"
65,A04.71,"Enterokolitis durch Clostridium difficile ohne Megakolon, mit sonstigen Organkomplikationen"
66,A04.72,"Enterokolitis durch Clostridium difficile mit Megakolon, ohne sonstige Organkomplikationen"
67,A04.73,"Enterokolitis durch Clostridium difficile mit Megakolon, mit sonstigen Organkomplikationen"
68,A04.79,"Enterokolitis durch Clostridium difficile, nicht näher bezeichnet"
69,A04.8,Sonstige näher bezeichnete bakterielle Darminfektionen
70,A04.8,Sonstige näher bezeichnete bakterielle Darminfektionen
71,A04.9,"Bakterielle Darminfektion, nicht näher bezeichnet"
72,A04.9,"Bakterielle Darminfektion, nicht näher bezeichnet"
73,A05.-,"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert"
74,A05.-,"Sonstige bakteriell bedingte Lebensmittelvergiftungen, anderenorts nicht klassifiziert"
75,A05.0,Lebensmittelvergiftung durch Staphylokokken
76,A05.0,Lebensmittelvergiftung durch Staphylokokken
77,A05.1,Botulismus
78,A05.1,Botulismus
79,A05.2,Lebensmittelvergiftung durch Clostridium perfringens [Clostridium welchii]
80,A05.2,Lebensmittelvergiftung durch Clostridium perfringens [Clostridium welchii]
81,A05.3,Lebensmittelvergiftung durch Vibrio parahaemolyticus
82,A05.3,Lebensmittelvergiftung durch Vibrio parahaemolyticus
83,A05.4,Lebensmittelvergiftung durch Bacillus cereus
84,A05.4,Lebensmittelvergiftung durch Bacillus cereus
85,A05.8,Sonstige näher bezeichnete bakteriell bedingte Lebensmittelvergiftungen
86,A05.8,Sonstige näher bezeichnete bakteriell bedingte Lebensmittelvergiftungen
87,A05.9,"Bakteriell bedingte Lebensmittelvergiftung, nicht näher bezeichnet"
88,A05.9,"Bakteriell bedingte Lebensmittelvergiftung, nicht näher bezeichnet"
89,A06.-,Amä¶biasis
90,A06.-,Amä¶biasis
91,A06.0,Akute Amä¶benruhr
92,A06.0,Akute Amä¶benruhr
93,A06.1,Chronische intestinale Amä¶biasis
94,A06.1,Chronische intestinale Amä¶biasis
95,A06.2,Nichtdysenterische Kolitis durch Amä¶ben
96,A06.2,Nichtdysenterische Kolitis durch Amä¶ben
97,A06.3,Amä¶bom des Darmes
98,A06.3,Amä¶bom des Darmes
99,A06.4†,Leberabszess durch Amä¶ben (K77.0*)
100,A06.4†,Leberabszess durch Amä¶ben (K77.0*)
101,A06.5†,Lungenabszess durch Amä¶ben
102,A06.5†,Lungenabszess durch Amä¶ben
103,A06.6†,Hirnabszess durch Amä¶ben  (G07*)
104,A06.6†,Hirnabszess durch Amä¶ben  (G07*)
105,A06.7,Amä¶biasis der Haut
106,A06.7,Amä¶biasis der Haut
107,A06.8,Amä¶beninfektion an sonstigen Lokalisationen
108,A06.8,Amä¶beninfektion an sonstigen Lokalisationen
109,A06.9,"Amä¶biasis, nicht näher bezeichnet"
110,A06.9,"Amä¶biasis, nicht näher bezeichnet"
111,A07.-,Sonstige Darmkrankheiten durch Protozoen
112,A07.-,Sonstige Darmkrankheiten durch Protozoen
113,A07.0,Balantidiose
114,A07.0,Balantidiose
115,A07.1,Giardiasis [Lambliasis]
116,A07.1,Giardiasis [Lambliasis]
117,A07.2,Kryptosporidiose
118,A07.2,Kryptosporidiose
119,A07.3,Isosporose
120,A07.3,Isosporose
121,A07.8,Sonstige näher bezeichnete Darmkrankheiten durch Protozoen
122,A07.8,Sonstige näher bezeichnete Darmkrankheiten durch Protozoen
123,A07.9,"Darmkrankheit durch Protozoen, nicht näher bezeichnet"
124,A07.9,"Darmkrankheit durch Protozoen, nicht näher bezeichnet"
125,A08.-,Virusbedingte und sonstige näher bezeichnete Darminfektionen
126,A08.-,Virusbedingte und sonstige näher bezeichnete Darminfektionen
127,A08.0,Enteritis durch Rotaviren
128,A08.0,Enteritis durch Rotaviren
129,A08.1,Akute Gastroenteritis durch Norovirus
130,A08.1,Akute Gastroenteritis durch Norovirus
131,A08.2,Enteritis durch Adenoviren
132,A08.2,Enteritis durch Adenoviren
133,A08.3,Enteritis durch sonstige Viren
134,A08.3,Enteritis durch sonstige Viren
135,A08.4,"Virusbedingte Darminfektion, nicht näher bezeichnet"
136,A08.4,"Virusbedingte Darminfektion, nicht näher bezeichnet"
137,A08.5,Sonstige näher bezeichnete Darminfektionen
138,A08.5,Sonstige näher bezeichnete Darminfektionen
139,A09.-,Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiä¶sen und nicht näher bezeichneten Ursprungs
140,A09.-,Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiä¶sen und nicht näher bezeichneten Ursprungs
141,A09.0,Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiä¶sen Ursprungs
142,A09.0,Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis infektiä¶sen Ursprungs
143,A09.9,Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis nicht näher bezeichneten Ursprungs
144,A09.9,Sonstige und nicht näher bezeichnete Gastroenteritis und Kolitis nicht näher bezeichneten Ursprungs
145,A15.-,"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
146,A15.-,"Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
147,A15.0,"Lungentuberkulose, durch mikroskopische Untersuchung des Sputums gesichert, mit oder ohne Nachweis durch Kultur oder molekularbiologische Verfahren"
148,A15.0,"Lungentuberkulose, durch mikroskopische Untersuchung des Sputums gesichert, mit oder ohne Nachweis durch Kultur oder molekularbiologische Verfahren"
149,A15.1,"Lungentuberkulose, nur durch Kultur gesichert"
150,A15.1,"Lungentuberkulose, nur durch Kultur gesichert"
151,A15.2,"Lungentuberkulose, histologisch gesichert"
152,A15.2,"Lungentuberkulose, histologisch gesichert"
153,A15.3,"Lungentuberkulose, durch sonstige und nicht näher bezeichnete Untersuchungsverfahren gesichert"
154,A15.3,"Lungentuberkulose, durch sonstige und nicht näher bezeichnete Untersuchungsverfahren gesichert"
155,A15.4,"Tuberkulose der intrathorakalen Lymphknoten, bakteriologisch, molekularbiologisch oder histologisch gesichert"
156,A15.4,"Tuberkulose der intrathorakalen Lymphknoten, bakteriologisch, molekularbiologisch oder histologisch gesichert"
157,A15.5,"Tuberkulose des Larynx, der Trachea und der Bronchien, bakteriologisch, molekularbiologisch oder histologisch gesichert"
158,A15.5,"Tuberkulose des Larynx, der Trachea und der Bronchien, bakteriologisch, molekularbiologisch oder histologisch gesichert"
159,A15.6,"Tuberkulä¶se Pleuritis, bakteriologisch, molekularbiologisch oder histologisch gesichert"
160,A15.6,"Tuberkulä¶se Pleuritis, bakteriologisch, molekularbiologisch oder histologisch gesichert"
161,A15.7,"Primäre Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
162,A15.7,"Primäre Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
163,A15.8,"Sonstige Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
164,A15.8,"Sonstige Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
165,A15.9,"Nicht näher bezeichnete Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
166,A15.9,"Nicht näher bezeichnete Tuberkulose der Atmungsorgane, bakteriologisch, molekularbiologisch oder histologisch gesichert"
167,A16.-,"Tuberkulose der Atmungsorgane, weder bakteriologisch, molekularbiologisch noch histologisch gesichert"
